"Index","EURUSD.Open","EURUSD.High","EURUSD.Low","EURUSD.Close","EURUSD.Volume","EURUSD.Adjusted"
2004-06-30,1.2118,1.2195,1.2068,1.2169,NA,NA
2004-07-01,1.2169,1.221,1.2134,1.2163,NA,NA
2004-07-02,1.2164,1.2328,1.2145,1.2316,NA,NA
2004-07-05,1.2323,1.2336,1.2271,1.2285,NA,NA
2004-07-06,1.2285,1.233,1.2265,1.2307,NA,NA
2004-07-07,1.2307,1.2389,1.2275,1.2376,NA,NA
2004-07-08,1.2376,1.2407,1.2341,1.2395,NA,NA
2004-07-09,1.2395,1.2424,1.2372,1.2415,NA,NA
2004-07-12,1.2428,1.2437,1.2384,1.241,NA,NA
2004-07-13,1.2412,1.2415,1.2301,1.2317,NA,NA
2004-07-14,1.2317,1.2422,1.2307,1.2396,NA,NA
2004-07-15,1.2397,1.2404,1.233,1.2352,NA,NA
2004-07-16,1.2352,1.2461,1.2329,1.2452,NA,NA
2004-07-19,1.2453,1.2461,1.24,1.2426,NA,NA
2004-07-20,1.2426,1.2456,1.2353,1.2379,NA,NA
2004-07-21,1.2379,1.2384,1.2212,1.2232,NA,NA
2004-07-22,1.2232,1.2293,1.2225,1.2268,NA,NA
2004-07-23,1.2268,1.2275,1.2093,1.2093,NA,NA
2004-07-26,1.2093,1.2172,1.209,1.215,NA,NA
2004-07-27,1.215,1.219,1.2036,1.2071,NA,NA
2004-07-28,1.2071,1.2079,1.2,1.2057,NA,NA
2004-07-29,1.2057,1.2097,1.1992,1.2048,NA,NA
2004-07-30,1.2048,1.2121,1.2004,1.2019,NA,NA
2004-08-02,1.2014,1.2093,1.2014,1.2039,NA,NA
2004-08-03,1.2039,1.2077,1.1994,1.2057,NA,NA
2004-08-04,1.2057,1.2069,1.197,1.2046,NA,NA
2004-08-05,1.2047,1.2073,1.2021,1.2059,NA,NA
2004-08-06,1.2059,1.2279,1.2044,1.2279,NA,NA
2004-08-09,1.227,1.229,1.2246,1.226,NA,NA
2004-08-10,1.2261,1.2319,1.226,1.2297,NA,NA
2004-08-11,1.2297,1.231,1.2196,1.222,NA,NA
2004-08-12,1.2221,1.2301,1.2209,1.224,NA,NA
2004-08-13,1.224,1.2374,1.2176,1.2374,NA,NA
2004-08-16,1.2373,1.2384,1.2317,1.2345,NA,NA
2004-08-17,1.2346,1.2389,1.231,1.2339,NA,NA
2004-08-18,1.234,1.2366,1.2285,1.2324,NA,NA
2004-08-19,1.2324,1.2379,1.2318,1.2354,NA,NA
2004-08-20,1.2354,1.2381,1.2279,1.2321,NA,NA
2004-08-23,1.2322,1.2323,1.2179,1.2184,NA,NA
2004-08-24,1.2185,1.2196,1.2069,1.2073,NA,NA
2004-08-25,1.2073,1.2116,1.2053,1.2085,NA,NA
2004-08-26,1.2085,1.2122,1.2043,1.2091,NA,NA
2004-08-27,1.2092,1.2136,1.2008,1.2011,NA,NA
2004-08-30,1.2021,1.207,1.1989,1.2063,NA,NA
